target_name,r,g,b,distance
target_1,53,40,43,3
target_2,73,66,60,4
target_3,38,51,67,5
target_4,43,30,26,4
target_5,48,41,42,5
target_6,44,36,39,6
target_7,58,74,81,4
target_8,26,15,5,5
target_9,46,68,97,4
target_10,5,15,28,55
