target_name,r,g,b,distance
target_1,47,36,40,3
target_2,70,64,58,4
target_3,44,58,70,5
target_4,56,44,34,4
target_5,66,55,55,5
target_6,46,41,45,6
target_7,59,73,85,4
target_8,21,15,5,5
target_9,41,66,94,4
target_10,0,11,25,55
