target_name,left_range,right_range,distance
target_1,"(3054, 1311)","(3196, 1378)",4
target_2,"(3962, 1294)","(4051, 1357)",5
target_3,"(4685, 1241)","(4798, 1290)",6
target_4,"(5157, 1220)","(5314, 1248)",3
