target_name,left_range,right_range,distance
target_1,"(4838, 1188)","(4951, 1255)",3
target_2,"(3938, 1301)","(4019, 1357)",4
target_3,"(3139, 1322)","(3280, 1399)",5
target_4,"(5185, 1160)","(5330, 1248)",4
target_5,"(5677, 1156)","(5738, 1223)",5
target_6,"(5915, 1177)","(5992, 1223)",6
target_7,"(2489, 1280)","(2558, 1350)",4
target_8,"(4208, 1442)","(4507, 1608)",5
